No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"C2.5","2167:9080","Signature 2025 - Creator Award","シグネチャー2025 - クリエイター賞","Signature 2025 - Creator Award","others","card","","","","","","","","","Mục đích: Hiển thị thẻ giới thiệu hạng mục giải thưởng 'Signature 2025 - Creator'.
Hiển thị: Thẻ bao gồm hình ảnh minh họa giải thưởng (vòng tròn vàng với chữ 'SIGNATURE 2025 CREATOR'); tên hạng mục 'Signature 2025 - Creator'; mô tả ngắn 'Vinh danh cá nhân có đóng góp sáng tạo nổi bật và để lại dấu ấn riêng'; nút 'Chi tiết' kèm icon mũi tên.
Chức năng: Click vào thẻ hoặc nút 'Chi tiết' sẽ điều hướng đến trang Award Information tương ứng.","on_click","Trang Award Information (Signature 2025 - Creator)","award_categories","award_category","Lấy thông tin hạng mục 'Signature 2025 - Creator'.","- Kiểm tra thẻ hiển thị đúng hình ảnh; tên và mô tả hạng mục Signature 2025 - Creator
- Kiểm tra nút 'Chi tiết' hoạt động và điều hướng đúng
- Kiểm tra hiệu ứng hover trên thẻ
- Kiểm tra responsive trên các kích thước màn hình khác nhau"
"C2.6","2167:9081","MVP Award","MVP賞","MVP (Most Valuable Person) Award","others","card","","","","","","","","","Mục đích: Hiển thị thẻ giới thiệu hạng mục giải thưởng 'MVP (Most Valuable Person)'.
Hiển thị: Thẻ bao gồm hình ảnh minh họa giải thưởng (vòng tròn vàng với chữ 'MVP'); tên hạng mục 'MVP (Most Valuable Person)'; mô tả ngắn 'Vinh danh cá nhân có giá trị đóng góp lớn nhất cho tổ chức'; nút 'Chi tiết' kèm icon mũi tên.
Chức năng: Click vào thẻ hoặc nút 'Chi tiết' sẽ điều hướng đến trang Award Information tương ứng.","on_click","Trang Award Information (MVP)","award_categories","award_category","Lấy thông tin hạng mục 'MVP (Most Valuable Person)'.","- Kiểm tra thẻ hiển thị đúng hình ảnh; tên và mô tả hạng mục MVP
- Kiểm tra nút 'Chi tiết' hoạt động và điều hướng đúng
- Kiểm tra hiệu ứng hover trên thẻ
- Kiểm tra responsive trên các kích thước màn hình khác nhau"
"D1","3390:10349","Sunkudos","サンクドス","Sun* Kudos Block","others","card","","","","","","","","","Mục đích: Hiển thị khối quảng bá phong trào ghi nhận 'Sun* Kudos' - điểm mới của SAA 2025.
Hiển thị:
- Tiêu đề: 'Phong trào ghi nhận'
- Tên lớn: 'Sun* Kudos'
- Nhãn: 'ĐIỂM MỚI CỦA SAA 2025'
- Đoạn mô tả chi tiết về hoạt động ghi nhận và cảm ơn đồng nghiệp
- Logo KUDOS bên phải
- Nút 'Chi tiết' kèm icon mũi tên
- Nền tối với viền vàng trang trí
Chức năng: Click nút 'Chi tiết' điều hướng đến trang Sun* Kudos.","on_click","Trang Sun* Kudos","","","Nội dung tĩnh giới thiệu phong trào Sun* Kudos.","- Kiểm tra khối hiển thị đầy đủ tiêu đề; mô tả; logo KUDOS và nút 'Chi tiết'
- Kiểm tra nút 'Chi tiết' điều hướng đúng đến trang Sun* Kudos
- Kiểm tra layout logo KUDOS bên phải; nội dung bên trái
- Kiểm tra responsive trên các kích thước màn hình khác nhau"
"D2","I3390:10349;313:8419","Content","コンテンツ","Content (Sun* Kudos Info Block)","others","info_block","","","","","","","","","Mục đích: Hiển thị khối thông tin chi tiết về phong trào Sun* Kudos bên trong khối D1.
Hiển thị:
- Dòng 'Phong trào ghi nhận'
- Tiêu đề lớn 'Sun* Kudos'
- Nhãn 'ĐIỂM MỚI CỦA SAA 2025'
- Đoạn văn mô tả hoạt động ghi nhận (triển khai tháng 11/2025; khuyến khích chia sẻ lời ghi nhận trên hệ thống BTC)
- Nút CTA 'Chi tiết'
Chức năng: Cung cấp thông tin tĩnh. Nút 'Chi tiết' (item D2.1) là thành phần con tương tác.","","","","","Nội dung tĩnh; không lấy từ database.","- Kiểm tra hiển thị đầy đủ các dòng text: tiêu đề phụ; tiêu đề chính; nhãn; mô tả
- Kiểm tra nội dung text hiển thị chính xác theo design"
"D2.1","I3390:10349;313:8426","Button-IC","詳細ボタン","Detail Button (Sun* Kudos)","button","","icon_text","","","","","","","","Mục đích: Cung cấp nút hành động để người dùng truy cập trang Sun* Kudos.
Hiển thị: Nút có nền vàng với text 'Chi tiết' và icon mũi tên hướng lên-phải. Kiểu nút icon_text.
Chức năng: Click điều hướng đến trang Sun* Kudos để xem chi tiết phong trào ghi nhận.","on_click","Trang Sun* Kudos","","","","- Kiểm tra nút hiển thị text 'Chi tiết' và icon mũi tên
- Kiểm tra nút có nền vàng đúng theo design
- Kiểm tra click điều hướng đúng đến trang Sun* Kudos
- Kiểm tra hiệu ứng hover/active trên nút"
"6","5022:15169","Widget Button","ウィジェットボタン","Floating Action Button (Quick Action)","button","","icon_text","","","","","","","","Mục đích: Floating Action Button (FAB) cố định ở góc phải dưới màn hình; cho phép truy cập nhanh các chức năng chính.
Hiển thị:
- Trạng thái đóng: Nút hình oval nền vàng kem; chứa icon bút chì và icon logo SAA; ký tự '/' phân cách. Cố định vị trí (fixed position) góc phải dưới.
- Trạng thái mở: Hiển thị 2 nút dọc phía trên:
  1. 'Thể lệ' (icon rocket SAA + text) - nút nền vàng kem; bo góc
  2. 'Viết KUDOS' (icon bút chì + text) - nút nền vàng kem; bo góc
  Bên dưới: nút đóng hình tròn đỏ với icon X
Chức năng:
- Click FAB (trạng thái đóng): mở expanded menu hiển thị 2 option
- Click 'Thể lệ': điều hướng đến trang Tiêu chuẩn chung (thể lệ SAA)
- Click 'Viết KUDOS': mở form viết Kudos
- Click nút X (đỏ): đóng expanded menu; trở về trạng thái FAB ban đầu
- FAB luôn hiển thị trên mọi trang khi scroll","on_click","Click 'Thể lệ' -> Trang Tiêu chuẩn chung; Click 'Viết KUDOS' -> Form viết Kudos","","","","- Kiểm tra FAB hiển thị đúng vị trí cố định góc phải dưới màn hình
- Kiểm tra FAB luôn hiển thị khi scroll trang
- Kiểm tra click FAB mở expanded menu với 2 option: 'Thể lệ' và 'Viết KUDOS'
- Kiểm tra click 'Thể lệ' điều hướng đúng đến trang Tiêu chuẩn chung
- Kiểm tra click 'Viết KUDOS' mở form viết Kudos
- Kiểm tra click nút X đỏ đóng menu trở về trạng thái FAB ban đầu
- Kiểm tra FAB không che khuất nội dung quan trọng
- Kiểm tra animation mở/đóng menu mượt mà"
"7","5001:14800","Footer","フッター","Footer","others","navigation","","","","","","","","","Mục đích: Footer điều hướng phụ của trang. Đây là shared component dùng chung cho tất cả các trang (About SAA 2025; Award Information; Sun* Kudos).
Hiển thị:
- Logo Sun* Annual Awards 2025 (bên trái)
- Liên kết điều hướng: 'About SAA 2025'; 'Award Information'; 'Sun* Kudos'; 'Tiêu chuẩn chung' (giữa) — footer có thêm 2 item so với header: 'Tiêu chuẩn chung' và dòng bản quyền
- Bản quyền: 'Bản quyền thuộc về Sun* © 2025' (bên phải)
Chức năng:
- Click link: điều hướng tới trang tương ứng
- Click logo: về đầu trang chủ
- Active state: link trang hiện tại hiển thị highlight; đồng bộ với header (cùng trang thì cả header và footer đều active)
- Hover/active/normal state: tương tự các item ở header","","Chuyển hướng tùy theo liên kết được click","","","Nội dung tĩnh.","- Kiểm tra footer là shared component hiển thị trên tất cả các trang
- Kiểm tra footer hiển thị đầy đủ logo; 4 liên kết (About SAA 2025; Award Information; Sun* Kudos; Tiêu chuẩn chung) và dòng bản quyền
- Kiểm tra tất cả liên kết điều hướng hoạt động đúng
- Kiểm tra active state đồng bộ giữa header và footer
- Kiểm tra layout responsive của footer"
"7.1","I5001:14800;342:1408","LOGO","ロゴ（フッター）","Logo (Footer)","others","logo","","","","","","","","","Mục đích: Hiển thị logo Sun* Annual Awards 2025 trong footer. Tương tự item A1.1.
Hiển thị: Logo Sun* Annual Awards 2025 kích thước 69x64px; nằm bên trái footer.
Chức năng: Click logo điều hướng về trang chủ (tương tự header logo).","on_click","Homepage","","","","- Kiểm tra logo hiển thị đúng kích thước 69x64px
- Kiểm tra hình ảnh logo rõ nét và đúng theo design
- Kiểm tra click logo điều hướng đúng"
"7.2","I5001:14800;342:1410","Button-IC","About SAA 2025ボタン（フッター）","About SAA 2025 Button (Footer)","button","","text_link","","","","","","","","Mục đích: Cung cấp liên kết điều hướng đến trang About SAA 2025 trong footer. Tương tự item A1.2.
Hiển thị: Text link 'About SAA 2025'.
Chức năng: Click điều hướng đến trang About SAA 2025.","on_click","Trang About SAA 2025","","","","- Kiểm tra text hiển thị đúng 'About SAA 2025'
- Kiểm tra click điều hướng đúng đến trang About SAA 2025
- Kiểm tra hiệu ứng hover trên text link"
"7.3","I5001:14800;342:1411","Button-IC","Award Informationボタン（フッター）","Award Information Button (Footer)","button","","text_link","","","","","","","","Mục đích: Cung cấp liên kết điều hướng đến trang Award Information trong footer. Tương tự item A1.3.
Hiển thị: Text link 'Award Information'. Có thể hiển thị highlight/active state.
Chức năng: Click điều hướng đến trang Award Information.","on_click","Trang Award Information","","","","- Kiểm tra text hiển thị đúng 'Award Information'
- Kiểm tra trạng thái highlight/active hiển thị đúng
- Kiểm tra click điều hướng đúng đến trang Award Information
- Kiểm tra hiệu ứng hover trên text link"
"7.4","I5001:14800;342:1412","Button-IC","Sun* Kudosボタン（フッター）","Sun* Kudos Button (Footer)","button","","text_link","","","","","","","","Mục đích: Cung cấp liên kết điều hướng đến trang Sun* Kudos trong footer. Tương tự item A1.5.
Hiển thị: Text link 'Sun* Kudos'.
Chức năng: Click điều hướng đến trang Sun* Kudos.","on_click","Trang Sun* Kudos","","","","- Kiểm tra text hiển thị đúng 'Sun* Kudos'
- Kiểm tra click điều hướng đúng đến trang Sun* Kudos
- Kiểm tra hiệu ứng hover trên text link"
"7.5","I5001:14800;1161:9487","Button-IC","共通基準ボタン（フッター）","General Standards Button (Footer)","button","","text_link","","","","","","","","Mục đích: Cung cấp liên kết điều hướng đến trang Tiêu chuẩn chung trong footer.
Hiển thị: Text link 'Tiêu chuẩn chung'.
Chức năng: Click điều hướng đến trang Tiêu chuẩn chung; nơi trình bày các tiêu chuẩn đánh giá chung của SAA 2025.","on_click","Trang Tiêu chuẩn chung (General Standards)","","","","- Kiểm tra text hiển thị đúng 'Tiêu chuẩn chung'
- Kiểm tra click điều hướng đúng đến trang Tiêu chuẩn chung
- Kiểm tra hiệu ứng hover trên text link"
